Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Recency,Frequency,Monetary,Cluster
3.0,14.0,3,3,1,2,1,0,7.0,125.64,0,7.0,3.0,125.64,1
0.0,8.0,3,2,3,2,2,1,4.0,144.78,0,4.0,0.0,144.78,2
4.0,32.0,3,3,3,1,2,0,3.0,129.11,0,3.0,4.0,129.11,2
1.0,10.0,4,4,5,1,7,0,3.0,165.31,1,3.0,1.0,165.31,2
1.0,16.0,4,4,1,2,3,0,1.0,135.81,1,1.0,1.0,135.81,2
1.0,31.0,6,4,1,2,3,1,1.0,148.4,1,1.0,1.0,148.4,2
0.0,16.0,3,2,2,2,1,0,1.0,149.5,0,1.0,0.0,149.5,2
1.0,16.0,3,2,3,2,4,0,7.0,136.6,0,7.0,1.0,136.6,1
13.0,21.0,4,0,3,1,2,0,12.0,204.35,0,12.0,13.0,204.35,1
5.0,12.0,4,2,3,1,3,0,3.0,208.46,0,3.0,5.0,208.46,2
1.0,11.0,4,4,5,2,3,0,1.0,154.73,1,1.0,1.0,154.73,2
0.0,14.0,3,3,3,1,2,0,3.0,125.17,0,3.0,0.0,125.17,2
15.0,13.0,4,0,3,2,3,0,3.0,217.41,0,3.0,15.0,217.41,0
24.0,14.0,4,0,4,0,6,0,3.0,224.9,0,3.0,24.0,224.9,0
8.0,16.0,5,0,4,2,3,0,3.0,211.21,0,3.0,8.0,211.21,2
14.0,14.0,3,2,4,1,6,0,4.0,143.93,0,4.0,14.0,143.93,0
5.0,15.0,5,2,1,1,1,0,7.0,146.68,0,7.0,5.0,146.68,1
9.0,11.0,4,2,3,2,3,1,2.0,167.49,0,2.0,9.0,167.49,2
1.0,31.0,4,4,2,0,2,0,2.0,149.0,0,2.0,1.0,149.0,2
0.0,6.0,3,2,4,0,1,1,4.0,163.49,0,4.0,0.0,163.49,2
7.0,8.0,3,2,5,2,1,1,2.0,145.38,0,2.0,7.0,145.38,2
6.0,12.0,4,2,4,1,3,0,4.0,190.24,0,4.0,6.0,190.24,2
1.0,10.0,4,4,1,2,3,1,1.0,140.69,1,1.0,1.0,140.69,2
9.0,18.0,4,0,2,2,1,0,8.0,188.58,0,8.0,9.0,188.58,1
8.0,11.0,4,0,1,1,4,1,3.0,222.13,0,3.0,8.0,222.13,2
9.0,6.0,3,3,1,1,4,0,2.0,122.7,0,2.0,9.0,122.7,2
11.0,22.0,3,2,4,2,3,0,2.0,141.98,0,2.0,11.0,141.98,2
4.0,10.0,4,4,1,1,6,0,5.0,145.97,0,5.0,4.0,145.97,2
25.0,10.0,4,1,4,2,5,0,1.0,262.34,0,1.0,25.0,262.34,3
2.0,19.0,4,2,4,1,5,1,3.0,140.25,0,3.0,2.0,140.25,2
30.0,6.0,3,0,2,0,4,1,3.0,219.04,0,3.0,30.0,219.04,0
18.0,10.0,5,0,3,1,5,0,3.0,197.56,0,3.0,18.0,197.56,0
19.0,32.0,4,2,4,2,9,0,2.0,179.91,0,2.0,19.0,179.91,0
9.0,15.0,3,3,1,1,4,0,3.0,120.75,0,3.0,9.0,120.75,2
8.0,23.0,3,2,5,1,4,1,7.0,189.66,0,7.0,8.0,189.66,1
0.0,30.0,1,4,5,2,2,0,0.0,110.91,1,0.0,0.0,110.91,2
8.0,32.0,3,0,1,2,2,1,7.0,188.37,0,7.0,8.0,188.37,1
4.0,15.0,2,0,5,1,2,1,8.0,239.16000000000005,0,8.0,4.0,239.16000000000005,1
0.0,35.0,4,2,3,2,2,0,8.0,145.08,1,8.0,0.0,145.08,1
2.0,23.0,4,0,5,2,2,0,9.0,179.88,0,9.0,2.0,179.88,1
4.0,8.0,5,3,1,1,5,1,0.0,127.78,1,0.0,4.0,127.78,2
19.0,21.0,3,5,4,1,6,0,3.0,290.81,0,3.0,19.0,290.81,3
19.0,14.0,3,3,3,1,9,0,8.0,123.39,1,8.0,19.0,123.39,1
14.0,7.0,6,2,1,1,4,1,3.0,199.57,0,3.0,14.0,199.57,0
15.0,9.0,4,1,5,0,9,0,9.0,290.95,0,9.0,15.0,290.95,3
5.0,11.0,3,2,4,1,2,0,3.0,165.24,0,3.0,5.0,165.24,2
1.0,14.0,2,4,5,2,2,0,8.0,160.78,0,8.0,1.0,160.78,1
8.0,14.0,3,3,3,1,2,0,0.0,124.04,0,0.0,8.0,124.04,2
21.0,11.0,4,2,3,2,5,0,1.0,154.76,0,1.0,21.0,154.76,0
1.0,7.0,5,4,3,1,8,1,3.0,153.0,1,3.0,1.0,153.0,2
24.0,12.0,4,3,3,2,1,0,7.0,128.38,0,7.0,24.0,128.38,0
14.0,16.0,3,2,1,2,8,0,10.0,162.3,0,10.0,14.0,162.3,1
13.0,14.0,3,3,1,1,9,0,0.0,124.06,0,0.0,13.0,124.06,2
0.0,10.0,3,2,3,0,2,1,3.0,141.62,0,3.0,0.0,141.62,2
21.0,10.0,4,1,3,1,11,1,14.0,262.7,0,14.0,21.0,262.7,3
29.0,9.0,5,4,1,1,10,0,5.0,151.62,0,5.0,29.0,151.62,0
7.0,14.0,3,2,5,1,4,0,0.0,151.21,0,0.0,7.0,151.21,2
14.0,15.0,4,2,5,1,4,1,1.0,190.16,0,1.0,14.0,190.16,0
5.0,9.0,6,4,1,1,6,1,1.0,152.78,1,1.0,5.0,152.78,2
5.0,14.0,5,4,3,1,5,0,3.0,148.29,0,3.0,5.0,148.29,2
2.0,15.0,5,4,2,1,3,0,5.0,174.36,0,5.0,2.0,174.36,2
3.0,7.0,6,4,2,1,3,0,9.0,152.2,0,9.0,3.0,152.2,1
0.0,12.0,3,4,1,1,2,1,2.0,56.0,0,2.0,0.0,56.0,2
11.0,20.0,3,2,4,1,1,0,7.0,199.24,0,7.0,11.0,199.24,1
6.0,6.0,1,1,3,1,5,0,5.0,261.84,0,5.0,6.0,261.84,3
2.0,15.0,5,4,1,1,3,0,5.0,174.36,0,5.0,2.0,174.36,2
1.0,9.0,4,4,4,1,6,0,3.0,146.87,0,3.0,1.0,146.87,2
14.0,15.0,3,0,3,1,4,1,7.0,181.89,0,7.0,14.0,181.89,1
1.0,10.0,4,4,1,2,3,1,1.0,140.69,1,1.0,1.0,140.69,2
3.0,11.0,4,4,2,1,10,0,3.0,137.61,0,3.0,3.0,137.61,2
26.0,9.0,5,4,2,2,9,0,3.0,157.12,0,3.0,26.0,157.12,0
1.0,20.0,5,2,5,1,7,1,3.0,186.34,1,3.0,1.0,186.34,2
5.0,16.0,3,2,1,2,9,0,0.0,146.48,0,0.0,5.0,146.48,2
13.0,14.0,3,2,5,1,3,1,0.0,165.16,0,0.0,13.0,165.16,0
4.0,8.0,3,2,2,2,5,1,5.0,165.82,0,5.0,4.0,165.82,2
0.0,14.0,3,3,2,0,1,0,1.0,124.0,0,1.0,0.0,124.0,2
1.0,32.0,5,4,4,2,6,1,3.0,148.13,1,3.0,1.0,148.13,2
30.0,11.0,4,5,5,1,6,0,3.0,324.43,0,3.0,30.0,324.43,3
0.0,26.0,5,2,3,0,4,1,2.0,145.59,1,2.0,0.0,145.59,2
9.0,8.0,4,3,3,2,7,1,0.0,120.9,1,0.0,9.0,120.9,2
17.0,11.0,5,0,2,2,5,0,3.0,227.31,0,3.0,17.0,227.31,0
26.0,15.0,4,4,5,0,11,0,5.0,154.5,0,5.0,26.0,154.5,0
5.0,25.0,1,3,3,1,7,1,2.0,127.59,1,2.0,5.0,127.59,2
0.0,14.0,4,3,3,0,2,0,2.0,125.39,0,2.0,0.0,125.39,2
19.0,6.0,3,0,5,1,2,0,7.0,204.53,0,7.0,19.0,204.53,0
8.0,14.0,4,3,5,2,2,0,2.0,124.5,0,2.0,8.0,124.5,2
9.0,12.0,3,2,3,1,3,1,5.0,123.06,0,5.0,9.0,123.06,2
9.0,9.0,3,4,1,1,2,0,0.0,117.06,0,0.0,9.0,117.06,2
1.0,20.0,5,4,5,1,6,1,1.0,148.35,1,1.0,1.0,148.35,2
9.0,13.0,3,4,2,2,3,0,1.0,146.78,0,1.0,9.0,146.78,2
1.0,10.0,4,4,3,2,3,0,8.0,165.84,1,8.0,1.0,165.84,1
8.0,11.0,4,2,3,0,11,0,3.0,190.38,0,3.0,8.0,190.38,2
26.0,7.0,4,1,3,1,5,1,3.0,229.65,0,3.0,26.0,229.65,0
2.0,16.0,4,4,3,1,7,0,3.0,148.77,0,3.0,2.0,148.77,2
9.0,22.0,3,3,3,2,2,0,4.0,121.44,0,4.0,9.0,121.44,2
4.0,14.0,4,2,3,1,3,0,10.0,159.91,0,10.0,4.0,159.91,1
16.0,30.0,4,1,2,2,4,0,1.0,284.92,0,1.0,16.0,284.92,3
1.0,12.0,4,4,4,2,3,1,3.0,149.78,0,3.0,1.0,149.78,2
9.0,23.0,4,0,3,1,6,1,1.0,201.32,0,1.0,9.0,201.32,2
2.0,26.0,3,4,1,1,2,0,10.0,138.12,0,10.0,2.0,138.12,1
10.0,14.0,3,2,4,1,3,0,7.0,140.71,0,7.0,10.0,140.71,1
1.0,14.0,5,2,3,0,4,0,1.0,186.32,0,1.0,1.0,186.32,2
23.0,14.0,3,3,1,1,5,0,0.0,123.8,0,0.0,23.0,123.8,0
21.0,9.0,2,1,4,1,8,0,3.0,284.72,0,3.0,21.0,284.72,3
26.0,13.0,4,0,1,1,8,1,3.0,209.34,0,3.0,26.0,209.34,0
11.0,16.0,3,2,3,1,4,0,2.0,160.77,0,2.0,11.0,160.77,2
31.0,10.0,5,2,1,2,7,0,6.0,176.71,0,6.0,31.0,176.71,0
14.0,12.0,5,0,5,0,7,1,3.0,229.75,0,3.0,14.0,229.75,0
4.0,11.0,3,2,5,2,1,0,7.0,199.36,0,7.0,4.0,199.36,1
17.0,34.0,3,1,5,0,4,0,17.0,263.28,0,17.0,17.0,263.28,3
7.0,10.0,3,2,3,1,10,0,2.0,165.38,0,2.0,7.0,165.38,2
20.0,8.0,3,5,4,2,8,1,8.0,292.46,1,8.0,20.0,292.46,3
8.0,29.0,5,2,1,1,3,1,12.0,182.47,0,12.0,8.0,182.47,1
1.0,16.0,6,4,4,2,3,0,3.0,152.6,1,3.0,1.0,152.6,2
17.0,31.0,4,0,5,2,8,1,3.0,229.48,1,3.0,17.0,229.48,0
27.0,13.0,4,2,3,0,4,1,6.0,148.06,0,6.0,27.0,148.06,0
16.0,7.0,5,2,2,0,11,1,3.0,185.62,0,3.0,16.0,185.62,0
16.0,9.0,4,2,1,1,3,0,3.0,165.89,0,3.0,16.0,165.89,0
9.0,13.0,3,4,3,1,2,0,0.0,112.74,0,0.0,9.0,112.74,2
10.0,33.0,4,2,3,1,8,0,3.0,178.47,0,3.0,10.0,178.47,2
10.0,30.0,2,2,1,1,6,0,4.0,150.71,0,4.0,10.0,150.71,2
3.0,11.0,3,3,5,1,6,0,30.0,132.04,0,30.0,3.0,132.04,1
0.0,24.0,1,2,3,0,3,0,2.0,162.32,0,2.0,0.0,162.32,2
12.0,16.0,3,2,5,1,3,0,7.0,153.77,0,7.0,12.0,153.77,1
6.0,17.0,4,2,1,2,10,0,1.0,171.48,0,1.0,6.0,171.48,2
11.0,18.0,4,2,5,1,3,0,2.0,162.88,0,2.0,11.0,162.88,2
6.0,7.0,5,4,4,1,2,0,3.0,147.69,0,3.0,6.0,147.69,2
4.0,6.0,3,2,5,1,2,0,3.0,141.48,0,3.0,4.0,141.48,2
17.0,9.0,4,4,1,2,2,0,9.0,160.39,0,9.0,17.0,160.39,1
7.0,21.0,3,0,2,0,2,0,5.0,179.78,1,5.0,7.0,179.78,2
8.0,15.0,4,2,5,1,7,0,3.0,190.0,0,3.0,8.0,190.0,2
15.0,9.0,5,2,3,2,4,1,8.0,193.11,0,8.0,15.0,193.11,1
31.0,9.0,5,1,2,2,5,1,4.0,262.26,0,4.0,31.0,262.26,3
16.0,14.0,3,2,4,1,5,0,0.0,147.65,0,0.0,16.0,147.65,0
18.0,26.0,3,2,3,2,9,0,1.0,148.5,0,1.0,18.0,148.5,0
3.0,12.0,4,2,1,1,5,0,1.0,145.86,1,1.0,3.0,145.86,2
11.0,7.0,5,4,5,0,4,0,3.0,164.2,0,3.0,11.0,164.2,2
0.0,5.0,4,3,3,2,2,0,2.0,130.33,0,2.0,0.0,130.33,2
20.0,9.0,4,0,1,1,5,0,3.0,210.78,0,3.0,20.0,210.78,0
11.0,11.0,4,4,3,0,9,1,4.0,154.96,0,4.0,11.0,154.96,2
0.0,22.0,3,0,5,2,3,1,0.0,185.64,1,0.0,0.0,185.64,2
10.0,13.0,2,4,1,1,5,0,1.0,155.38,0,1.0,10.0,155.38,2
1.0,22.0,4,4,3,1,3,0,3.0,151.1,1,3.0,1.0,151.1,2
9.0,24.0,4,2,5,1,5,1,3.0,214.66,0,3.0,9.0,214.66,2
1.0,6.0,4,2,1,1,2,1,7.0,168.34,0,7.0,1.0,168.34,1
9.0,9.0,4,2,1,1,4,0,8.0,182.62,0,8.0,9.0,182.62,1
2.0,10.0,4,4,4,1,3,0,1.0,153.56,0,1.0,2.0,153.56,2
30.0,15.0,4,4,5,1,6,1,3.0,167.57,0,3.0,30.0,167.57,0
12.0,23.0,4,2,4,2,4,0,3.0,166.98,0,3.0,12.0,166.98,0
8.0,22.0,3,0,3,1,5,1,0.0,176.32,0,0.0,8.0,176.32,2
22.0,26.0,3,2,5,1,2,0,11.0,165.67,0,11.0,22.0,165.67,1
8.0,33.0,3,2,3,1,3,0,7.0,168.83,0,7.0,8.0,168.83,1
20.0,32.0,3,5,3,1,4,0,0.0,296.58,0,0.0,20.0,296.58,3
9.0,9.0,4,4,3,0,2,0,0.0,112.81,0,0.0,9.0,112.81,2
20.0,20.0,3,2,4,1,9,0,7.0,154.67,0,7.0,20.0,154.67,0
0.0,10.0,3,3,2,2,2,1,2.0,128.75,0,2.0,0.0,128.75,2
28.0,24.0,4,0,3,1,10,0,9.0,232.39,0,9.0,28.0,232.39,3
22.0,7.0,2,1,1,2,4,0,2.0,293.85,0,2.0,22.0,293.85,3
16.0,21.0,4,1,3,1,2,0,11.0,276.03,0,11.0,16.0,276.03,3
7.0,9.0,5,2,1,2,6,0,2.0,160.29,0,2.0,7.0,160.29,2
1.0,28.0,4,4,3,1,3,0,1.0,148.77,1,1.0,1.0,148.77,2
9.0,16.0,3,3,3,0,2,1,0.0,122.2,0,0.0,9.0,122.2,2
9.0,14.0,4,2,4,1,2,1,7.0,121.33,0,7.0,9.0,121.33,1
4.0,8.0,4,2,5,0,4,0,0.0,164.1,0,0.0,4.0,164.1,2
25.0,13.0,5,4,3,2,2,0,8.0,153.38,0,8.0,25.0,153.38,0
14.0,33.0,4,2,5,1,3,0,6.0,208.96,0,6.0,14.0,208.96,0
4.0,9.0,4,4,4,0,3,0,1.0,149.76,0,1.0,4.0,149.76,2
18.0,15.0,4,2,3,0,2,0,12.0,155.93,0,12.0,18.0,155.93,1
10.0,10.0,5,0,1,1,6,0,3.0,221.99,0,3.0,10.0,221.99,0
18.0,27.0,4,4,4,2,3,0,4.0,159.2,0,4.0,18.0,159.2,0
11.0,17.0,4,2,4,2,4,1,2.0,166.97,0,2.0,11.0,166.97,2
8.0,18.0,5,2,4,1,6,0,9.0,169.9,0,9.0,8.0,169.9,1
22.0,14.0,3,3,5,1,5,1,2.0,125.87,0,2.0,22.0,125.87,0
4.0,27.0,4,2,5,1,2,0,3.0,224.57,0,3.0,4.0,224.57,2
0.0,11.0,4,0,2,1,2,1,3.0,228.08,0,3.0,0.0,228.08,2
18.0,35.0,4,1,5,1,5,0,18.0,288.28,0,18.0,18.0,288.28,3
13.0,11.0,4,2,3,2,2,0,9.0,175.42,0,9.0,13.0,175.42,1
31.0,22.0,4,1,3,1,4,1,3.0,282.87,0,3.0,31.0,282.87,3
0.0,17.0,1,2,3,1,9,0,2.0,147.07,1,2.0,0.0,147.07,2
1.0,25.0,2,4,5,1,2,0,1.0,154.56,1,1.0,1.0,154.56,2
1.0,14.0,4,4,4,2,3,1,1.0,149.72,1,1.0,1.0,149.72,2
20.0,22.0,4,5,4,0,7,0,4.0,315.81,0,4.0,20.0,315.81,3
4.0,11.0,3,4,1,1,1,1,3.0,148.21,0,3.0,4.0,148.21,2
1.0,7.0,3,4,5,1,2,0,2.0,135.91,0,2.0,1.0,135.91,2
8.0,22.0,4,2,4,1,1,1,2.0,147.88,0,2.0,8.0,147.88,2
13.0,15.0,3,2,3,1,4,0,7.0,139.75,0,7.0,13.0,139.75,1
1.0,16.0,4,4,4,2,3,0,4.0,147.79,0,4.0,1.0,147.79,2
25.0,17.0,3,2,3,0,9,0,4.0,131.49,0,4.0,25.0,131.49,0
19.0,11.0,6,0,3,1,6,0,3.0,222.56,0,3.0,19.0,222.56,0
24.0,17.0,5,0,1,2,8,0,3.0,229.96,0,3.0,24.0,229.96,0
0.0,22.0,5,4,5,2,2,1,7.0,139.19,1,7.0,0.0,139.19,1
15.0,35.0,5,1,4,1,2,0,11.0,260.7,0,11.0,15.0,260.7,3
7.0,16.0,3,2,3,1,2,1,7.0,140.01,0,7.0,7.0,140.01,1
19.0,6.0,3,0,5,1,2,0,7.0,204.53,0,7.0,19.0,204.53,0
11.0,6.0,4,3,5,2,5,0,0.0,128.58,0,0.0,11.0,128.58,2
24.0,7.0,4,2,3,1,2,0,14.0,188.47,0,14.0,24.0,188.47,1
29.0,21.0,2,5,4,2,10,0,16.0,312.22,0,16.0,29.0,312.22,3
15.0,12.0,3,0,5,1,10,0,7.0,233.48,0,7.0,15.0,233.48,3
15.0,11.0,4,0,3,1,2,1,3.0,229.47,0,3.0,15.0,229.47,0
4.0,14.0,3,2,1,2,2,0,8.0,144.24,0,8.0,4.0,144.24,1
9.0,12.0,4,3,3,1,1,0,3.0,121.87,0,3.0,9.0,121.87,2
0.0,8.0,4,3,1,2,8,0,0.0,127.85,1,0.0,0.0,127.85,2
7.0,6.0,1,3,1,2,3,0,3.0,132.8,0,3.0,7.0,132.8,2
2.0,11.0,4,2,3,1,3,0,5.0,167.21,0,5.0,2.0,167.21,2
9.0,34.0,5,4,5,2,3,0,2.0,150.59,0,2.0,9.0,150.59,2
4.0,8.0,3,3,3,1,1,0,2.0,130.67,0,2.0,4.0,130.67,2
10.0,18.0,5,2,1,1,6,0,1.0,191.52,0,1.0,10.0,191.52,2
9.0,26.0,3,3,3,0,5,0,0.0,122.59,0,0.0,9.0,122.59,2
7.0,32.0,4,2,3,0,3,0,2.0,170.39,0,2.0,7.0,170.39,2
1.0,7.0,6,4,4,2,9,1,8.0,147.16,1,8.0,1.0,147.16,1
0.0,9.0,4,0,1,1,2,1,7.0,203.25,1,7.0,0.0,203.25,1
19.0,11.0,4,2,4,0,3,0,9.0,169.47,0,9.0,19.0,169.47,1
16.0,32.0,3,1,1,1,2,1,12.0,269.59,0,12.0,16.0,269.59,3
4.0,9.0,5,4,5,2,2,0,8.0,174.68,0,8.0,4.0,174.68,1
16.0,36.0,4,2,3,1,4,0,3.0,170.56,0,3.0,16.0,170.56,0
0.0,12.0,3,3,5,2,3,0,3.0,129.6,1,3.0,0.0,129.6,2
31.0,35.0,5,0,5,1,6,0,3.0,227.66,0,3.0,31.0,227.66,0
30.0,13.0,1,2,1,1,1,1,9.0,152.2,0,9.0,30.0,152.2,0
15.0,7.0,4,2,5,1,2,0,8.0,166.03,0,8.0,15.0,166.03,1
6.0,9.0,4,2,3,2,6,1,8.0,174.98,0,8.0,6.0,174.98,1
6.0,15.0,4,0,2,2,3,0,3.0,214.98,0,3.0,6.0,214.98,2
30.0,13.0,3,5,5,0,6,0,10.0,295.66,0,10.0,30.0,295.66,3
6.0,13.0,3,0,3,0,1,0,3.0,216.91000000000005,0,3.0,6.0,216.91000000000005,2
5.0,14.0,5,4,3,0,5,0,3.0,148.29,0,3.0,5.0,148.29,2
1.0,27.0,3,3,2,0,2,0,2.0,127.13,0,2.0,1.0,127.13,2
7.0,9.0,4,2,1,1,3,0,5.0,180.05,0,5.0,7.0,180.05,2
9.0,28.0,3,3,3,1,5,1,1.0,121.32,1,1.0,9.0,121.32,2
1.0,13.0,4,4,1,1,3,1,3.0,81.0,0,3.0,1.0,81.0,2
2.0,23.0,3,2,5,2,2,0,8.0,181.61,0,8.0,2.0,181.61,1
16.0,36.0,4,2,3,1,4,0,3.0,170.56,0,3.0,16.0,170.56,0
16.0,19.0,4,4,4,1,10,0,5.0,152.66,0,5.0,16.0,152.66,0
19.0,9.0,1,1,5,1,3,0,8.0,232.25,0,8.0,19.0,232.25,3
16.0,14.0,2,2,4,1,8,1,1.0,148.72,0,1.0,16.0,148.72,0
11.0,9.0,3,2,2,2,9,1,0.0,168.61,0,0.0,11.0,168.61,2
10.0,21.0,4,2,1,1,2,1,12.0,190.86,0,12.0,10.0,190.86,1
15.0,14.0,6,5,3,1,3,0,11.0,324.73,0,11.0,15.0,324.73,3
14.0,14.0,4,5,4,2,3,0,9.0,323.33,0,9.0,14.0,323.33,3
1.0,31.0,2,4,5,2,3,0,1.0,135.91,1,1.0,1.0,135.91,2
23.0,8.0,3,1,3,1,6,0,3.0,276.39,0,3.0,23.0,276.39,3
13.0,32.0,3,2,4,1,2,0,13.0,156.05,0,13.0,13.0,156.05,1
0.0,6.0,3,3,4,2,2,1,4.0,132.02,1,4.0,0.0,132.02,2
19.0,13.0,3,2,3,1,3,0,0.0,152.58,0,0.0,19.0,152.58,0
8.0,14.0,4,3,1,1,2,0,2.0,123.76,0,2.0,8.0,123.76,2
25.0,14.0,3,3,5,1,10,0,4.0,129.5,0,4.0,25.0,129.5,0
10.0,17.0,4,0,2,2,3,0,3.0,224.8,0,3.0,10.0,224.8,0
1.0,7.0,6,2,4,2,8,0,1.0,192.35,1,1.0,1.0,192.35,2
19.0,14.0,3,2,3,0,6,0,3.0,189.34,0,3.0,19.0,189.34,0
6.0,31.0,3,2,3,1,2,0,1.0,145.39,0,1.0,6.0,145.39,2
1.0,32.0,4,2,5,1,2,0,4.0,147.24,0,4.0,1.0,147.24,2
16.0,12.0,4,4,3,1,6,0,1.0,145.93,0,1.0,16.0,145.93,0
9.0,13.0,4,4,3,0,2,1,3.0,160.06,0,3.0,9.0,160.06,2
1.0,26.0,3,2,2,2,10,1,5.0,178.04,1,5.0,1.0,178.04,2
